monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
48,3,1,0,1,1,0,0,1,0,7,1,0,0
64,5,3,0,2,1,3,0,4,2,16,1,0,0
47,3,0,0,0,0,0,0,0,0,3,1,1,1
48,4,0,0,0,0,0,0,0,0,12,2,1,1
19,4,4,1,2,2,5,0,16,14,15,5,0,0
20,2,0,1,0,0,1,0,10,8,15,4,0,3
6,1,1,0,0,0,1,0,4,2,9,1,0,0
69,3,5,3,2,1,5,0,22,4,10,3,0,3
176,4,1,0,0,0,3,0,16,9,18,3,0,8
142,4,2,3,0,0,8,0,30,34,63,7,0,2
97,6,10,8,4,2,20,0,65,60,24,7,1,0
32,7,5,2,2,1,1,0,23,16,14,7,0,0
129,6,2,0,3,1,3,0,68,28,17,2,0,2
22,4,2,0,0,0,3,0,21,24,22,5,0,0
44,6,5,2,3,1,8,0,35,42,24,7,0,1
46,5,6,0,1,1,7,1,33,40,58,10,1,2
38,4,3,1,3,1,5,1,30,30,52,12,1,1
85,8,5,2,4,1,12,1,34,45,27,8,0,7
129,8,7,1,4,1,11,2,37,17,37,12,0,4
185,9,6,7,4,1,11,3,50,36,47,16,1,2
136,5,8,4,3,1,21,1,27,14,37,7,0,1
85,7,3,2,3,1,15,3,41,45,48,5,0,1
36,4,2,1,0,0,2,7,7,25,45,6,1,5
71,3,7,1,1,1,5,2,37,10,26,11,1,7
133,5,7,5,2,1,13,2,63,27,50,16,0,8
39,4,9,7,0,0,10,2,38,39,65,10,1,5
58,6,11,8,5,2,9,2,34,23,74,8,0,1
58,8,9,5,5,2,12,0,35,27,53,15,0,6
