monthly_commits,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers,closed_PRs_2mo
98,12,31,1,25,3,174,1,38,112,341,14,0,5
28,6,14,7,9,3,76,0,24,68,85,7,1,7
126,10,43,5,32,5,227,3,57,215,83,11,2,4
155,9,45,7,35,4,220,4,58,193,99,13,0,4
80,11,23,4,19,3,96,2,34,77,166,8,0,5
76,10,33,4,29,5,150,3,42,150,124,10,0,3
47,5,15,5,13,3,48,3,21,55,101,12,0,11
39,8,31,3,16,2,119,1,34,89,96,10,0,6
133,5,52,11,49,4,127,4,68,129,88,8,0,5
100,6,37,6,29,3,136,4,43,100,67,14,0,2
60,8,22,5,13,3,122,0,32,118,73,19,0,3
34,6,6,2,12,3,46,2,14,41,58,5,0,2
36,6,21,3,15,5,31,1,19,20,57,6,1,1
20,6,13,2,12,4,39,2,21,39,59,12,0,2
11,4,10,1,8,3,9,3,19,31,63,11,1,0
9,6,12,2,7,1,44,2,16,33,48,6,0,2
6,4,4,0,3,3,57,1,7,54,57,7,0,3
50,4,11,2,7,3,112,3,14,100,44,5,0,1
12,3,6,3,3,2,38,5,7,45,47,12,0,0
17,5,7,1,4,2,46,0,7,27,38,10,1,1
7,5,4,0,5,2,35,0,7,52,48,4,2,2
20,5,6,1,8,3,24,0,19,43,41,5,0,0
11,5,4,2,4,2,15,4,9,82,43,12,0,0
0,0,2,0,0,0,6,5,2,19,45,7,0,0
5,1,4,0,2,1,10,3,3,14,27,9,0,0
18,5,5,0,4,2,10,5,7,27,39,5,0,0
4,3,2,0,2,1,6,0,4,6,36,6,0,2
0,0,2,0,0,0,16,2,0,16,34,4,0,0
10,3,8,2,4,3,22,0,7,11,40,8,0,3
5,4,2,0,2,2,2,2,3,6,44,7,0,0
17,3,9,3,7,2,28,1,11,18,44,7,0,0
12,6,5,0,3,2,30,5,6,32,54,9,0,1
37,4,3,0,3,1,17,0,7,27,39,7,0,0
7,4,4,1,3,1,13,1,7,28,38,3,1,0
1,1,1,0,1,1,3,2,1,4,33,5,0,0
0,0,1,0,0,0,1,3,2,12,29,9,0,0
7,4,4,0,5,2,15,2,9,26,17,8,0,1
1,1,3,0,1,1,10,1,1,9,24,2,0,0
3,3,0,1,3,1,18,3,4,20,18,5,0,0
0,0,0,0,0,0,0,0,0,0,28,6,0,0
